<<<<<<< HEAD:RawBiogasReg_Pig_Bag.csv
Pig Manure (t),Bagasse feed (t),Raw Biogas Produced (m3),,,Pig 
21.14,0,15617
36.04,0,11826
17.28,0,11143
25.9,0,15250
26.58,0,12511
20.46,0,14986
33.56,0,7191
14.42,0,8389
27.26,0,15977
25.22,0,12225
25.3,0,11126
28.44,0,13940
18.56,0,13095
13.86,0,8827
33.08,0,13607
29.7,0,16164
20.09,0,14794
28.38,0,13004
19.78,0,14304
26.74,0,13531
25.92,0,15307
26.74,0,13392
35.3,0,10997
13.12,0,15665
24.74,0,13013
0,0,13149
37.62,0,14168
19.84,0,18702
26.3,0,14513
23.04,0,6512
28.56,0,15630
32,0,15106
12.66,0,14208
26.4,0,13044
19.4,0,3601
32.46,0,13376
0,0,0
0,0,0
39.38,0,11390
45.68,0,11119
19.24,0,9704
36.38,0,15225
26.3,10,12765
24.84,7.5,14302
29.78,10,14801
23.26,10,14188
20.46,10,13477
22.84,15,11560
25.12,15.3,16360
25.68,15.3,13872
18.38,12.15,12302
17.92,15.3,23853
18.12,10.8,17404
12.78,1.35,13754
25.78,15.3,18744
18.66,20.25,18533
24.08,20.25,18106
11.2,20.25,16790
5.56,18,18787
27.6,20.25,18667
11.4,15.75,18916
17.84,35,19957
17.74,35,19637
24.52,35,17667
33.44,35,19603
13.08,35,17535
21.74,27.9,18225
12.26,35,14773
18.58,35,17948
18.12,12.6,15945
24.44,15.75,16334
30.78,15.57,16874
20.96,22.05,17804
12.02,35,17633
5.54,35,16411
27.16,27,18479
30.74,36,19264
17.94,36.9,20065
22.14,27,18255
18.7,40,19057
6.64,10.8,16029
12.2,24.75,20140
17.54,13.5,21041
35.92,5.4,12707
0,0,0
0,0,5326
46.86,0,20731
12.74,18,18843
24.64,13.5,18522
12.16,10.8,20155
33.08,15.3,21001
17.94,13.5,19774
25.54,14.6,20885
23.06,6.75,21385
13.78,10.4,20009
16.7,16.2,19403
35.52,13.5,18854
10.76,13.5,20677
29.68,14.4,18252
12.86,12.6,20496
24.22,6.75,17882
21.02,9.9,21378
13.2,8.1,20517
22.82,18,17781
45.32,12.6,19180
13.02,19.8,21517
7.5,24.9,19710
30.98,24.79,21433
29.02,13.5,21744
12.34,20.25,19497
9.26,27.45,19761
35.74,21.6,18392
5.66,11.7,22450
27.26,4.5,18819
23.02,7.45,20163
11.86,18.45,20769
24.24,4.5,19414
17.12,18.9,19881
11.8,9,19262
18.24,4.5,18396
10.68,7.2,19286
28.14,16.2,19317
17.5,4.5,21580
11.56,3.6,19299
5.54,16.2,19255
31.62,6.3,18009
28.82,21.6,19625
5.86,29.7,16968
25.48,5.4,19644
5.74,21.6,18428
31.46,4.5,20863
17.48,33.75,19049
16.74,71.55,22360
17.84,55,21000
19.8,39.15,23204
11.8,2.7,23008
36.52,1.34,21128
17.36,0,22143
18.56,0,22440
22.9,0,20864
13.7,0,21857
19.22,0,20646
33.78,0,16126
0,0,15022
0,0,11722
0,0,17036
34.54,0,17093
18.18,0,18324
16.06,0,19015
21.1,0,14304
11.32,0,18793
0.001,0,10941
12.4,0,16703
49.6,0,16693
33.3,0,19403
23.64,0,20184
12.92,0,18727
13.16,0,18572
5.56,0,15515
18.32,0,18532
5.46,0,21448
25.38,0,18084
36,0,19718
13.12,0,19283
32.46,0,16033
11.5,0,18643
24.56,0,16428
30.48,0,19115
12.42,0,17393
17.82,0,18919
16.24,0,16364
25.9,0,15687
29.32,0,15781
3.92,0,16773
30.86,0,20869
19.26,0,15515
25.36,0,17605
12.28,5.4,17516
17.9,5.4,14682
12,5.4,14765
6.88,5.4,16981
9.56,5.4,13722
30.94,5.4,19999
31.54,1.8,18336
18.36,5.4,18092
16.8,5.4,19284
30.58,5.4,18940
31.92,0,17730
18.86,0,15759
18.28,0,16851
27.16,0,8987
23.28,0,12296
25.58,0,12280
27.04,0,12642
39.3,0,17361
24.04,24.04,14861
12.26,0,14844
25.66,0,18302
25.48,0,14561
48.54,0,14193
0,0,0
0,0,0
12.82,0,0
29.96,0,4757
45.22,0,13571
0,0,14155
11.04,0,14548
19.94,4.5,12128
18.3,4.5,12400
34.86,4.5,14661
18,0,19977
12.12,0,17710
44.66,0,18389
18,10.35,18186
11.84,10.35,15892
38.52,7.65,12055
39.12,10.35,13449
29.82,10.35,13991
31.4,0,15670
25.54,0,16781
22.46,0,14302
23.8,0,18552
18.3,0,8356
24.56,0,15222
41.14,0,17143
26.92,0,19345
24.2,0,19299
25.76,0,17272
32.62,0,20468
32.82,0,20573
38.86,0,19952
19.76,0,18656
27.26,0,20258
25.64,0,21170
24.58,0,22799
38.78,0,19908
37.52,0,21009
24.34,0,19914
42.12,15,18874
29.22,0,21643
25.88,0,21278
43.16,0,18248
30.36,0,17840
31.16,5.4,21141
35.36,10.8,19657
20.18,4.5,22195
12.72,4.5,19714
39.3,0,21030
18.64,0,20451
39.84,0,20543
30.96,0,20875
39.5,0,21222
24.94,0,22809
39.36,0,21903
34.48,0,20814
32.54,0,20813
32.52,0,19834
26.46,6.75,19039
33.9,13.5,20027
37.72,20.25,21595
39,20.25,22701
24.8,20.25,19566
25.42,9,19579
31.42,20.25,20319
30.96,20.25,22824
25.9,20.25,20373
26.54,20.25,20568
25.8,20.25,18746
24.68,20.25,16839
6.8,6.75,13502
36.74,18,15562
33.34,20.25,16067
36.7,13.5,17189
33.32,20.25,20171
31.3,20.25,15486
20.26,20.25,14971
30.94,20.25,16321
44.88,20.25,20493
19.24,20.25,17614
39.02,20.25,19348
34.7,20.25,19977
24.68,20.25,19272
39.7,20.25,22037
49.56,33.75,20559
32.32,41.3,22491
11.26,0,19002
25.14,0,20528
36.78,0,18111
26.04,20.25,18805
29.16,0,19184
44.6,6.3,18674
18.5,11.25,20001
29.7,20.25,18968
19.34,9,19731
30.76,20.25,24068
18.62,0,19708
24.88,0,15843
30.9,20.25,19930
19.98,0,18436
38.44,11.7,21786
27.56,20.25,19592
44.48,9,20865
40.62,0,23624
24.54,4.5,22312
33.64,10,20332
24.78,9,20541
27.1,8.1,19097
45.78,0,17886
24.46,0,18426
42.78,11.25,17663
39.24,6.75,16435
23.34,9,18489
37.78,0,15096
0,0,7724
0,0,10838
0,0,7528
0,10.35,9333
37.86,13.5,9690
38.7,4.5,15159
30.68,20.25,12340
23.8,20.25,15882
29.6,9,18439
33.7,10.8,17772
63.76,11.25,18322
12.44,15.75,19173
>>>>>>> d9982adf530640b20a37580a134f30e2183f11d1:Data/AlternativeData/RawBiogasReg_Pig_Bag.csv
